url,box__image src,category,box__copy,box__copy (2)
https://www.diffordsguide.com/beer-wine-spirits/category/1103/abbotts-bitters,https://cdn.diffords.com/contrib/stock-images/2015/3/58/2015b7a959427bb6fc0ba3043a0731d93d80.jpg,Abbotts bitters,"C.W. Abbott and Co. was founded in 1865 in Baltimore, Maryland, which was then one of the great centres of American liquor production. It began selling its bitters in 1872, becoming one of the three biggest-selling bitters during the cocktail era - it was the bitter used in the original Manhattan cocktail. The company continued trading until the 1950s but then disappeared from the market. So what, you may very reasonably ask, happened to Abbott's?",
https://www.diffordsguide.com/beer-wine-spirits/category/323/akvavit-aquavit,https://cdn.diffords.com/contrib/stock-images/2014/3/48/2014e2bbc7ae817ec59ab727f52b725913c9.jpg,Akvavit / Aquavit,"The word akvavit, like the word whisky, originates from the alchemical term water of life or aqua vitae in Latin. It is also known as aquavit. This flavoured white spirit is popular in Scandinavian countries, especially Denmark, where production centres on the town of Aalborg, its place of origin some 400 years ago.",water of life
https://www.diffordsguide.com/beer-wine-spirits/category/311/arak,https://cdn.diffords.com/contrib/encyclopedia/2022/11/6364c462d0e11.jpg,Arak,"Arak, Araq is an alcoholic anise-flavoured beverage traditionally served in the Middle Eastern countries of Iraq, Lebanon, Jordan and Syria, but is also produced and consumed in other Eastern Mediterranean and North African countries. Turkish Raki is comparable to arak but should not be confused with Cretan Raki which does not contain anise seeds (Pimpinella anisum).",Pimpinella anisum
https://www.diffordsguide.com/beer-wine-spirits/category/947/arrack,https://cdn.diffords.com/contrib/stock-images/2014/4/34/20147b91f7c9d9e42c810b1237baa32199c4.jpg,Arrack,"Arrack is often confused with the similarly pronounced and spelt 'Arak', which is a Middle Eastern anise flavoured distillate, similar to pastis or ouzo. 'Arrack', spelt with two 'r's and a 'c', is harder to define as it is a spirit which does not have a uniform category. Indeed, arrack is a Hindi catch-all term for distilled spirits in the same manner as 'liquor' in English.",
https://www.diffordsguide.com/beer-wine-spirits/category/719/baijiu-shaojiu,https://cdn.diffords.com/contrib/stock-images/2014/3/06/20141a325660b94f8b6a5ee5e140d8d606be.jpg,Baijiu (白酒) / Shaojiu (烧酒),"Baijiu (白酒) or Shaojiu (烧酒) is a Chinese distilled alcoholic beverage between 40-60% alc./vol. Baijiu literally translates as 'white alcohol' and this clear spirit is most commonly distilled from fermented sorghum bicolor (a grass species cultivated for its edible grain) or maize, but also glutinous rice, wheat, barley and other grains.",
https://www.diffordsguide.com/beer-wine-spirits/category/710/beer-eau-de-vie-bierbrand,https://cdn.diffords.com/contrib/stock-images/2014/3/06/2014d3eb9dd2bcbedb17346410339602018d.jpg,Beer eau-de-vie (bierbrand),"Beer eau-de-vie is traditionally made in Germany, Austria, Switzerland, Belgium and France, typically by smaller breweries and beer brewing monasteries working in conjunction with local distillers. Beer is seldom produced especially for this purpose, instead it is usually a brewery's regular beer which is simply sent to the distiller, or distilled in-house.",
https://www.diffordsguide.com/beer-wine-spirits/category/328/bitters-and-tinctures-etc,https://cdn.diffords.com/contrib/stock-images/2014/3/06/2014254d38fa8cc3fb9f979eb210a4fe0915.jpg,Bitters & tinctures etc.,"Bitters are alcoholic beverages prepared with herbs, spices, roots, fruits and peels infused in alcohol or glycerin. Popular ingredients include gentian, quinine and orange peel. As the name suggests, they typically have a bitter or bittersweet flavor. The original bitters were medieval therapeutic drinks and throughout the ages bitters were marketed as an elixir.",
https://www.diffordsguide.com/beer-wine-spirits/category/436/black-dark-rums,https://cdn.diffords.com/contrib/encyclopedia/2018/12/5c17b57fabacc.jpg,Black (dark) rums,"Whether sold as “black rum” or “dark rum” these molasses-based blended rums have one thing in common, they are deep brown, virtually black in colour due to the addition of caramel and/or molasses. The best also draw colour from aging in heavily charred casks.",
https://www.diffordsguide.com/beer-wine-spirits/category/338/blanche-darmagnacs,https://cdn.diffords.com/contrib/stock-images/2014/7/49/201464510a6dd7e80eaa32dd8a0b785405d0.jpg,Blanche d'Armagnacs,"Blanche has long been consumed in the Armagnac region but you had to know a distiller in order to obtain what was flavoursome hootch. However, in 2007 this unaged Armagnac spirit was officially recognised by the French authorities and brought under Armagnac's Appellation d'Origine Contrôlée.",
https://www.diffordsguide.com/beer-wine-spirits/category/1150/bokers-bogarts-bitters,https://cdn.diffords.com/contrib/encyclopedia/2019/01/5c4af4ed88c26.jpg,Boker's / Bogart's Bitters,"A historic brand of bitters originally created by Johann Gottlieb Böker in 1828 and produced until the 1920s. However, the historic notoriety of these bitters has led to at least three different modern-day producers using surviving vintage bottles and written information to reimagine and recreate these historic bitters.",
